generic_name,brand_name,manufacturer,category,availability,severity,days_in_shortage,posting_date,route
Fentanyl Citrate Injection,FENTANYL CITRATE,"Fresenius Kabi USA, LLC",Pain/Opioids,Unavailable,Critical,5207,2012-01-01,"INTRAMUSCULAR, INTRAVENOUS"
Atropine Sulfate Injection,,,Anticholinergics,Unavailable,Critical,5207,2012-01-01,
Atropine Sulfate Injection,ATROPINE SULFATE,"Hospira, Inc.",Anticholinergics,Unavailable,Critical,5207,2012-01-01,INTRAVENOUS
Atropine Sulfate Injection,,,Anticholinergics,Unavailable,Critical,5207,2012-01-01,
Atropine Sulfate Injection,ATROPINE SULFATE,Accord Healthcare Inc.,Anticholinergics,Unavailable,Critical,5207,2012-01-01,"ENDOTRACHEAL, INTRAMEDULLARY, INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
Fentanyl Citrate Injection,FENTANYL CITRATE,"Fresenius Kabi USA, LLC",Pain/Opioids,Unavailable,Critical,5207,2012-01-01,"INTRAMUSCULAR, INTRAVENOUS"
Fentanyl Citrate Injection,FENTANYL CITRATE,"Fresenius Kabi USA, LLC",Pain/Opioids,Unavailable,Critical,5207,2012-01-01,"INTRAMUSCULAR, INTRAVENOUS"
Fentanyl Citrate Injection,FENTANYL CITRATE,"Fresenius Kabi USA, LLC",Pain/Opioids,Unavailable,Critical,5207,2012-01-01,"INTRAMUSCULAR, INTRAVENOUS"
Fentanyl Citrate Injection,FENTANYL CITRATE,"Hospira, Inc.",Pain/Opioids,Unavailable,Critical,5207,2012-01-01,"INTRAMUSCULAR, INTRAVENOUS"
Atropine Sulfate Injection,,,Anticholinergics,Unavailable,Critical,5207,2012-01-01,
Atropine Sulfate Injection,,,Anticholinergics,Unavailable,Critical,5207,2012-01-01,
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,"Hospira, Inc.",Cardiovascular,Unavailable,Critical,5155,2012-02-22,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
Lidocaine Hydrochloride Injection,LIDOCAINE HYDROCHLORIDE,"Hospira, Inc.",Other,Unavailable,Critical,5155,2012-02-22,INTRAVENOUS
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,"Hospira, Inc.",Cardiovascular,Unavailable,Critical,5155,2012-02-22,"INFILTRATION, PERINEURAL"
Lidocaine Hydrochloride Injection,XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Other,Unavailable,Critical,5155,2012-02-22,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
Lidocaine Hydrochloride Injection,XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Other,Unavailable,Critical,5155,2012-02-22,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
Lidocaine Hydrochloride Injection,,,Other,Unavailable,Critical,5155,2012-02-22,
Lidocaine Hydrochloride Injection,,,Other,Unavailable,Critical,5155,2012-02-22,
Lidocaine Hydrochloride Injection,XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Other,Unavailable,Critical,5155,2012-02-22,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
Lidocaine Hydrochloride Injection,XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Other,Unavailable,Critical,5155,2012-02-22,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,"Hospira, Inc.",Cardiovascular,Unavailable,Critical,5155,2012-02-22,"INFILTRATION, PERINEURAL"
Lidocaine Hydrochloride Injection,XYLOCAINE,"Fresenius Kabi USA, LLC",Other,Unavailable,Critical,5155,2012-02-22,"INFILTRATION, PERINEURAL"
Lidocaine Hydrochloride Injection,LIDOCAINE HYDROCHLORIDE,"Hospira, Inc.",Other,Unavailable,Critical,5155,2012-02-22,"INFILTRATION, PERINEURAL"
"Cefotaxime Sodium Powder, for Solution",CEFOTAXIME,Hikma Pharmaceuticals USA Inc.,Other,Unavailable,Critical,4064,2015-02-17,"INTRAMUSCULAR, INTRAVENOUS"
"Cefotaxime Sodium Powder, for Solution",CEFOTAXIME,Hikma Pharmaceuticals USA Inc.,Other,Unavailable,Critical,4064,2015-02-17,"INTRAMUSCULAR, INTRAVENOUS"
"Cefotaxime Sodium Powder, for Solution",CEFOTAXIME,Hikma Pharmaceuticals USA Inc.,Other,Unavailable,Critical,4064,2015-02-17,INTRAVENOUS
"Cefotaxime Sodium Powder, for Solution",CEFOTAXIME,Hikma Pharmaceuticals USA Inc.,Other,Unavailable,Critical,4064,2015-02-17,"INTRAMUSCULAR, INTRAVENOUS"
Sodium Acetate Injection,SODIUM ACETATE,Hikma Pharmaceuticals USA Inc.,Other,Unavailable,Critical,3713,2016-02-03,INTRAVENOUS
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Cardiovascular,Unavailable,Critical,3459,2016-10-14,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",XYLOCAINE MPF,"Fresenius Kabi USA, LLC",Cardiovascular,Unavailable,Critical,3459,2016-10-14,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL"
Sodium Bicarbonate Injection,,,IV Fluids,Unavailable,Critical,3321,2017-03-01,
Sodium Bicarbonate Injection,SODIUM BICARBONATE,"Hospira, Inc.",IV Fluids,Unavailable,Critical,3321,2017-03-01,INTRAVENOUS
